wallsMaterial,floorNumber,floorsTotal,totalArea,kitchenArea,latitude,longitude,price
brick,3,5.0,40.4,5.8,55.752308,37.642905,14900000
brick,2,9.0,42.5,8.0,55.727516,37.632457,15750000
brick,7,8.0,42.4,5.4,55.722744999999996,37.580785999999996,15900000
monolith,5,12.0,40.0,10.0,55.766110999999995,37.567869,17900000
brick,5,8.0,40.0,9.0,55.745878000000005,37.601007,26483149
brick,5,9.0,42.0,5.5,55.773768000000004,37.687909999999995,10500000
block,8,12.0,40.0,7.0,55.757197,37.559775,11000000
monolith,5,14.0,42.0,7.0,55.722614,37.609235999999996,11100000
brick,7,9.0,42.1,6.0,55.732666,37.56547,12500000
brick,10,12.0,41.0,8.0,55.783235,37.588476,13000000
brick,1,5.0,44.0,6.0,55.762935999999996,37.57112,10300000
monolith,6,6.0,44.0,8.0,55.721731000000005,37.572899,21000000
panel,6,12.0,44.4,8.0,55.77088199999999,37.571031,12400000
brick,2,5.0,44.0,6.0,55.75937,37.538431,10699999
panel,6,12.0,44.0,6.0,55.77088199999999,37.571031,12400000
brick,8,9.0,43.0,6.0,55.764967000000006,37.56547,13900000
stalin,5,5.0,44.9,8.0,55.75704,37.657071,16500000
brick,4,5.0,43.1,5.0,55.76096999999999,37.571597,10500000
monolith,7,14.0,44.8,6.0,55.722274,37.609757,11450000
panel,6,12.0,44.4,7.0,55.77088199999999,37.571031,12400000
block,6,12.0,44.4,7.0,55.77088199999999,37.571031,12500000
panel,3,9.0,44.7,6.0,55.726239,37.636554,13200000
monolith,3,44.0,46.0,16.5,55.77080600000001,37.564212,13950000
panel,8,12.0,45.0,6.3,55.734126,37.671704999999996,10990000
brick,2,9.0,47.0,12.0,55.770076,37.57298,13000000
monolith,31,44.0,45.4,15.0,55.77080600000001,37.564212,14600000
monolith,37,44.0,45.6,20.0,55.77080600000001,37.564212,15000000
monolith,44,44.0,45.5,14.0,55.77080600000001,37.564212,18000000
brick,6,8.0,45.0,6.0,55.78651,37.59348,13250000
monolith,7,18.0,45.3,10.0,55.77120600000001,37.658212,16600000
monolith,3,13.0,45.0,14.0,55.760915000000004,37.550208000000005,19250000
brick,3,8.0,45.0,7.0,55.753133999999996,37.521309,9000000
panel,3,12.0,45.0,6.3,55.734846,37.679278000000004,11000000
brick,2,6.0,45.2,10.0,55.77629399999999,37.672163,13989000
brick,4,8.0,46.0,8.0,55.772639,37.585754,14800000
monolith,13,16.0,47.3,20.0,55.77120600000001,37.658212,16950000
monolith,7,18.0,45.3,10.0,55.77120600000001,37.658212,17500000
brick,3,6.0,46.0,9.0,55.754937,37.593686,18900000
brick,2,6.0,46.9,9.3,55.76191800000001,37.649623999999996,18900000
brick,6,9.0,45.0,9.0,55.775115,37.615120000000005,20500000
panel,8,12.0,45.0,6.3,55.734329,37.675109,10500000
panel,4,17.0,45.0,8.0,55.740517000000004,37.586338,14650000
brick,2,7.0,46.2,9.4,55.77629399999999,37.672163,15300000
monolithBrick,7,15.0,46.0,10.0,55.77120600000001,37.658212,16600000
brick,4,6.0,45.0,8.0,55.755991,37.652688,18000000
brick,1,12.0,46.0,9.0,55.764977,37.594387,18890000
brick,1,12.0,46.0,9.0,55.76499200000001,37.593722,18890000
monolith,5,17.0,46.5,5.0,55.7621,37.550064,18900000
monolith,3,12.0,45.0,14.0,55.761249,37.547153,19250000
brick,5,5.0,46.0,7.0,55.725478,37.563125,16000000
monolithBrick,24,44.0,49.2,13.7,55.77080600000001,37.564212,14500000
brick,4,9.0,48.3,7.3,55.762693000000006,37.565937,12200000
block,9,12.0,48.3,8.8,55.731815000000005,37.630122,13490000
brick,4,7.0,49.5,10.0,55.77629399999999,37.672163,13400000
brick,5,8.0,48.0,8.0,55.72229399999999,37.621534000000004,14550000
monolith,74,95.0,49.2,9.8,55.749511,37.537083,23000000
panel,7,14.0,49.8,7.0,55.757560999999995,37.588844,23900000
brick,1,5.0,49.2,6.3,55.76092,37.541198,9900000
monolith,38,44.0,49.5,14.0,55.77080600000001,37.564212,15500000
brick,5,8.0,50.0,8.0,55.768841,37.586921999999994,16000000
monolith,69,80.0,50.0,20.0,55.749511,37.537083,24500000
brick,11,14.0,49.2,14.0,55.722142000000005,37.618569,28500000
brick,3,13.0,48.0,9.0,55.744191,37.594863000000004,30750000
brick,4,10.0,50.0,9.0,55.740005000000004,37.594638,34650000
brick,1,5.0,50.9,8.8,55.786758999999996,37.599049,9800000
panel,4,16.0,52.0,9.0,55.787153,37.622819,13300000
monolith,3,19.0,50.0,10.0,55.771544999999996,37.568956,17690000
brick,5,9.0,52.0,8.0,55.742509,37.578441999999995,18500000
brick,9,14.0,52.9,9.0,55.778431000000005,37.611087,21300000
panel,2,9.0,52.0,6.0,55.733939,37.676169,10500000
block,15,16.0,50.5,10.9,55.790651000000004,37.640093,11400000
brick,3,14.0,52.0,8.7,55.734141,37.683221,12000000
brick,2,5.0,51.0,8.0,55.777889,37.664833,12300000
block,5,12.0,50.9,9.8,55.744059,37.673735,12499000
panel,3,12.0,51.5,9.8,55.726507,37.633787,12890000
brick,1,4.0,50.0,6.6,55.767072999999996,37.568632,13200000
brick,3,5.0,51.6,9.8,55.72306999999999,37.631613,13490000
block,8,16.0,50.0,11.0,55.790651000000004,37.640093,13700000
brick,4,5.0,50.6,6.3,55.774467,37.581613,14990000
brick,5,16.0,51.0,10.0,55.76463199999999,37.582592,15700000
brick,1,3.0,50.7,7.2,55.77717,37.608868,16800000
monolith,5,8.0,51.0,8.0,55.774958,37.672971000000004,17340000
block,20,24.0,51.3,7.3,55.753021999999994,37.588879999999996,18500000
brick,7,8.0,51.7,12.0,55.771829000000004,37.586383000000005,18700000
brick,9,14.0,51.0,8.5,55.738465000000005,37.629888,21650000
stalin,5,5.0,50.0,4.5,55.762176000000004,37.593695000000004,21900000
monolith,76,95.0,50.3,10.6,55.749511,37.537083,22700000
block,9,12.0,51.6,9.5,55.789826,37.638539,11600000
monolith,2,16.0,51.6,8.5,55.740735,37.648088,13200000
block,13,14.0,52.0,9.5,55.769874,37.675595,13700000
monolith,8,16.0,50.4,10.0,55.774305000000005,37.642132000000004,13850000
brick,4,9.0,50.0,11.0,55.770573,37.562955,13900000
brick,3,7.0,50.0,8.0,55.775965,37.672495,13950000
panel,1,12.0,52.0,9.0,55.787346,37.590012,14500000
brick,2,9.0,52.1,8.0,55.746015,37.578064000000005,15200000
monolithBrick,6,9.0,52.3,7.0,55.775544999999994,37.672118,15610000
monolith,12,18.0,53.0,14.0,55.77120600000001,37.658212,14700000
panel,20,24.0,54.0,7.0,55.753154,37.594035999999996,18990000
brick,5,8.0,54.0,9.0,55.744875,37.679044,13000000
brick,6,6.0,53.0,8.0,55.786738,37.633176,15000000
stalin,4,9.0,54.9,7.9,55.737137,37.651322,18500000
monolith,36,46.0,54.8,10.0,55.75133,37.526887,20500000
brick,5,5.0,54.0,6.2,55.735155000000006,37.589195000000004,14000000
monolith,45,46.0,54.3,9.0,55.75133,37.526887,20500000
block,5,10.0,54.0,10.0,55.787811,37.640668,14500000
brick,7,8.0,54.9,5.3,55.772639,37.585754,15500000
panel,12,16.0,54.0,7.0,55.746056,37.593542,16500000
monolithBrick,4,14.0,54.6,10.0,55.721447,37.626241,17799000
brick,1,6.0,53.3,9.0,55.765478,37.595833,18990000
monolith,3,7.0,54.2,14.0,55.775544999999994,37.672118,19182806
monolith,45,46.0,54.3,10.0,55.749795,37.526016,20000000
brick,4,4.0,53.6,10.0,55.754293999999994,37.587533,21999000
monolith,10,21.0,53.0,10.0,55.761770999999996,37.549184000000004,23900000
brick,6,8.0,54.6,7.0,55.738916,37.58464,26800000
brick,2,14.0,53.0,8.0,55.733183,37.683921999999995,11350000
panel,7,12.0,53.0,9.0,55.740618000000005,37.66645,13990000
brick,4,5.0,53.0,5.0,55.774629000000004,37.627696,13950000
stalin,5,5.0,54.5,6.5,55.774467,37.581613,15500000
brick,11,12.0,53.8,10.0,55.76786800000001,37.555849,17000000
monolith,74,97.0,54.4,14.0,55.749511,37.537083,30000000
brick,8,14.0,56.0,9.0,55.779346999999994,37.611437,20100000
monolith,11,21.0,56.4,20.0,55.761629000000006,37.548151000000004,31000000
stalin,2,9.0,57.5,9.0,55.776877,37.659371,15300000
brick,2,4.0,57.4,10.7,55.74865500000001,37.656478,15250000
brick,5,14.0,55.0,8.0,55.76463199999999,37.582592,16300000
monolith,4,21.0,57.0,26.8,55.755464,37.547342,23000000
monolith,11,21.0,55.57,18.8,55.761770999999996,37.549184000000004,25950000
brick,2,12.0,57.5,8.0,55.732656000000006,37.587919,33000000
brick,3,5.0,56.2,7.0,55.72503199999999,37.57563,18300000
brick,7,14.0,56.0,8.4,55.757560999999995,37.588844,26300000
brick,6,9.0,55.0,5.0,55.773768000000004,37.687909999999995,14300000
panel,7,17.0,57.9,12.9,55.741825,37.681074,14500000
block,5,12.0,55.0,10.0,55.787811,37.640668,14500000
monolith,4,11.0,55.0,10.0,55.784805000000006,37.656667,14990000
stalin,2,9.0,57.4,8.0,55.776877,37.659371,15300000
stalin,6,7.0,57.8,9.0,55.765083,37.655526,17300000
stalin,2,5.0,56.0,7.0,55.773024,37.595582,17600000
brick,5,6.0,56.0,8.0,55.787943000000006,37.592105,17900000
monolithBrick,15,16.0,56.0,14.0,55.774305000000005,37.642132000000004,18500000
brick,6,8.0,55.0,8.0,55.737137,37.651322,18900000
panel,24,24.0,55.0,8.0,55.753057999999996,37.58579,19100000
brick,6,6.0,57.2,7.0,55.755023,37.598420000000004,19900000
monolith,45,46.0,55.0,9.0,55.75133,37.526887,19998999
brick,3,9.0,56.5,8.9,55.77709399999999,37.709731,11000000
brick,8,9.0,56.0,6.0,55.75811899999999,37.538548,11800000
brick,4,5.0,56.4,10.0,55.753387,37.544306,13100000
brick,2,9.0,57.7,5.4,55.767357,37.556092,13500000
monolith,5,7.0,56.4,13.7,55.783508999999995,37.670303000000004,15000000
block,4,6.0,55.0,9.0,55.790245999999996,37.632655,16500000
monolith,12,46.0,56.0,9.0,55.75133,37.526887,17000000
brick,9,9.0,56.0,5.2,55.724642,37.572342,17500000
brick,5,5.0,55.1,6.0,55.751290000000004,37.579277000000005,17700000
brick,9,14.0,55.7,9.5,55.721447,37.626241,17600000
brick,1,5.0,57.0,7.0,55.737193000000005,37.623573,17950000
monolith,5,5.0,58.0,9.0,55.763983999999994,37.657655,14990000
monolith,5,5.0,58.0,27.5,55.774958,37.672971000000004,25500000
panel,8,9.0,58.0,7.0,55.783139,37.642671,10700000
monolithBrick,2,8.0,58.0,6.0,55.767357,37.556092,13450000
stalin,11,15.0,58.4,9.0,55.780097,37.668264,16988000
brick,4,8.0,58.0,10.0,55.763932999999994,37.564401000000004,17200000
brick,2,8.0,59.0,10.0,55.73925,37.643704,18890000
monolith,1,9.0,59.2,11.0,55.76794399999999,37.582781,20128000
brick,4,9.0,58.4,6.0,55.731901,37.615668,22500000
panel,4,9.0,58.4,5.0,55.731901,37.615668,22500000
monolith,3,14.0,58.1,10.0,55.786703,37.617474,38000000
brick,2,16.0,58.0,11.0,55.771925,37.572369,15700000
brick,3,8.0,60.0,7.0,55.77813199999999,37.598169,19800000
brick,7,9.0,58.0,8.5,55.775054000000004,37.588054,20850000
stalin,4,7.0,60.0,8.0,55.761041000000006,37.573366,21000000
monolith,9,25.0,58.7,21.5,55.758402000000004,37.549282,21300000
panel,11,14.0,59.4,7.6,55.734151000000004,37.61892,23000000
brick,3,4.0,60.0,9.0,55.769048,37.604321999999996,26000000
monolith,4,10.0,58.0,22.7,55.783356999999995,37.599381,35600000
brick,7,10.0,58.0,7.0,55.730826,37.631559,19800000
monolith,2,6.0,62.0,10.0,55.746203,37.636437,36900000
monolithBrick,5,5.0,62.0,20.0,55.759436,37.605733,24940000
brick,5,5.0,62.0,20.0,55.759436,37.605733,24950000
monolith,9,79.0,62.0,12.0,55.751143000000006,37.533733000000005,27192000
monolith,7,79.0,62.0,12.0,55.751143000000006,37.533733000000005,27013500
brick,6,8.0,60.0,9.0,55.722106999999994,37.57669,22200000
monolith,8,11.0,62.9,12.0,55.725118,37.572835999999995,41000000
brick,1,4.0,61.7,7.0,55.72961,37.571363,18500000
brick,1,7.0,60.0,8.0,55.75661899999999,37.65399,19000000
brick,12,12.0,60.0,8.0,55.74446,37.613018,50000000
brick,1,5.0,62.0,6.6,55.73256,37.663737,12300000
panel,4,12.0,62.7,7.5,55.734846,37.679278000000004,14490000
brick,1,5.0,62.4,7.0,55.78938,37.597782,14800000
brick,5,5.0,60.0,9.0,55.779028000000004,37.60964,15000000
brick,4,7.0,60.3,8.6,55.766466,37.640668,17500000
brick,4,5.0,60.2,11.1,55.774258999999994,37.593021,17700000
brick,1,4.0,61.7,7.0,55.72961,37.571363,18500000
brick,3,6.0,62.0,7.0,55.758575,37.579097999999995,20800000
monolith,2,10.0,60.0,25.0,55.766116000000004,37.567051,23000000
brick,4,6.0,60.0,7.0,55.761173,37.599507,25000000
monolith,10,21.0,62.0,10.0,55.761644,37.550567,26850000
brick,5,13.0,60.0,10.0,55.763630000000006,37.610799,27000000
brick,7,11.0,62.4,9.7,55.716133,37.576492,28000000
brick,5,6.0,60.6,9.0,55.765392000000006,37.610287,28900000
stalin,3,4.0,60.0,9.0,55.769048,37.604321999999996,35000000
brick,3,5.0,61.0,8.3,55.768638,37.677634000000005,13500000
panel,7,12.0,60.0,7.7,55.753889,37.657305,13800000
brick,5,5.0,61.4,6.8,55.735155000000006,37.589195000000004,15000000
panel,3,12.0,62.2,7.1,55.785878000000004,37.601034000000006,15500000
brick,1,5.0,60.0,11.0,55.771337,37.635566,15700000
brick,6,9.0,62.5,10.5,55.773033999999996,37.675765000000006,18900000
brick,6,6.0,60.0,7.0,55.769059,37.630715,19000000
panel,7,9.0,63.3,7.0,55.782856,37.592321000000005,15200000
brick,8,8.0,64.8,7.0,55.782198,37.670645,12400000
panel,2,14.0,63.0,7.0,55.721351,37.624409,15500000
brick,3,5.0,64.2,9.0,55.774629000000004,37.627696,18300000
block,1,9.0,64.0,9.5,55.733812,37.661787,11200000
brick,3,3.0,63.0,7.0,55.748148,37.67608,13900000
panel,7,16.0,63.0,11.1,55.776006,37.646274,14650000
monolithBrick,5,7.0,63.0,10.0,55.77629399999999,37.672163,14780000
brick,4,6.0,64.3,8.3,55.725326,37.567051,17600000
brick,2,6.0,63.0,18.0,55.76191800000001,37.649623999999996,22500000
monolith,6,14.0,63.1,12.5,55.766116000000004,37.567051,24450000
monolithBrick,7,7.0,64.0,10.0,55.725275,37.624821999999995,24750000
monolith,7,17.0,63.0,15.0,55.791289,37.598959,28990000
brick,7,10.0,64.0,8.5,55.754801,37.58455,29500000
brick,4,8.0,63.9,8.0,55.743497,37.633733,29900000
monolith,7,10.0,63.0,24.3,55.783356999999995,37.599381,35990000
monolith,7,10.0,63.0,24.3,55.783356999999995,37.599381,36600000
monolith,2,5.0,63.9,10.0,55.764425,37.65214,36500000
brick,7,10.0,63.3,12.0,55.736422,37.651734999999995,18000000
monolith,6,44.0,66.1,14.0,55.77080600000001,37.564212,19000000
monolith,9,13.0,65.4,15.0,55.768527,37.592132,27500000
brick,4,6.0,65.0,8.0,55.722117000000004,37.627866999999995,16500000
monolith,5,21.0,65.3,8.4,55.737708999999995,37.689932,17280000
brick,5,7.0,65.5,7.0,55.728353000000006,37.564913,19990000
block,4,12.0,66.1,28.0,55.738292,37.676062,18500000
brick,5,11.0,66.1,9.0,55.754897,37.569872,26500000
panel,2,12.0,67.0,11.0,55.777464,37.690911,12900000
brick,1,5.0,66.0,8.0,55.759765,37.551061,14300000
panel,4,12.0,65.0,7.0,55.785878000000004,37.601034000000006,18000000
block,4,12.0,66.0,28.0,55.738292,37.676062,18500000
brick,4,4.0,67.5,5.0,55.767148999999996,37.634892,21990000
brick,4,4.0,65.4,7.0,55.746375,37.592033,22000000
brick,2,5.0,65.0,10.0,55.745149,37.596920000000004,22100000
brick,5,6.0,67.0,11.0,55.729806999999994,37.62978,22800000
brick,3,9.0,65.5,10.0,55.76570600000001,37.579277000000005,24000000
brick,6,9.0,66.0,10.0,55.761502,37.598663,30000000
monolith,11,85.0,65.0,15.0,55.750028,37.534397,31900000
monolith,11,85.0,65.0,15.0,55.74938,37.534092,31900000
stalin,14,24.0,65.0,9.0,55.74711,37.642815,38800000
block,3,16.0,65.5,8.0,55.77579300000001,37.689042,13800000
monolith,2,16.0,65.0,8.1,55.787923,37.632224,15000000
brick,2,5.0,67.0,8.0,55.737345,37.65876,17500000
monolith,3,14.0,67.0,8.0,55.75461800000001,37.582682,17900000
brick,5,7.0,66.0,3.3,55.77629399999999,37.672163,18300000
brick,7,15.0,66.4,8.4,55.731075,37.633984999999996,18800000
monolith,10,19.0,67.1,14.5,55.774547999999996,37.641566,18788000
monolith,38,65.0,68.0,12.0,55.751143000000006,37.533733000000005,28840100
monolith,37,65.0,68.0,12.0,55.751143000000006,37.533733000000005,28655970
brick,2,12.0,69.0,7.2,55.748665,37.57687,21000000
monolith,33,44.0,68.0,20.0,55.77080600000001,37.564212,21200000
brick,5,7.0,68.0,15.0,55.754197999999995,37.598645,45000000
brick,7,8.0,69.2,7.2,55.782198,37.670645,12500000
brick,2,8.0,69.0,9.0,55.755782999999994,37.567985,20800000
brick,5,12.0,69.0,9.0,55.734648,37.658248,22000000
monolith,2,10.0,68.8,22.0,55.751903000000006,37.664069,28800000
stalin,5,8.0,69.2,8.8,55.75849300000001,37.613198,39000000
brick,1,6.0,68.0,5.5,55.737632999999995,37.67422,18500000
brick,7,7.0,70.0,6.0,55.788054,37.635979,18500000
monolith,25,44.0,69.0,15.0,55.77080600000001,37.564212,18500000
monolith,5,10.0,68.3,14.0,55.775169999999996,37.674021999999994,28754300
stalin,4,8.0,70.0,8.0,55.742215,37.585035,35900000
monolith,3,6.0,68.0,15.0,55.744774,37.659865,69200000
monolith,3,14.0,72.0,20.0,55.766110999999995,37.567869,27950000
brick,5,12.0,72.0,6.4,55.74711,37.642815,38000000
monolithBrick,5,25.0,70.0,12.0,55.756401000000004,37.537065000000005,23900000
brick,3,6.0,70.0,12.0,55.773241000000006,37.603657,24900000
brick,7,12.0,72.0,15.0,55.722142000000005,37.618569,49500000
brick,1,5.0,71.2,6.0,55.773681999999994,37.583436,17950000
brick,1,3.0,70.3,7.0,55.741246999999994,37.637425,20500000
brick,8,8.0,72.0,7.8,55.771646,37.584469,20400000
monolith,6,17.0,72.71,12.1,55.761644,37.550567,52500000
stalin,3,6.0,70.4,7.1,55.742889,37.663422,25000000
brick,1,5.0,72.1,7.0,55.77856800000001,37.643965,15499999
panel,3,22.0,72.5,9.8,55.745473,37.67784,19000000
stalin,7,7.0,70.0,8.0,55.777616,37.66097,20000000
brick,3,14.0,70.5,8.0,55.779428,37.639222,20500000
stalin,2,5.0,72.1,8.3,55.7242,37.575540000000004,20500000
stalin,2,8.0,71.0,7.5,55.773596,37.590506,23600000
brick,3,6.0,70.4,7.1,55.742889,37.663422,25000000
brick,5,5.0,71.0,8.0,55.750721999999996,37.582412,25870000
monolith,7,79.0,72.0,19.0,55.751143000000006,37.533733000000005,25990000
monolith,7,79.0,72.0,19.0,55.751143000000006,37.533733000000005,26000000
brick,4,8.0,72.6,27.9,55.773596,37.590506,26000000
brick,4,7.0,72.9,9.8,55.76174,37.608311,29500000
stalin,5,7.0,72.8,7.8,55.764784,37.621004,30000000
brick,2,4.0,71.0,7.0,55.765721,37.617518,32350000
brick,1,2.0,72.0,11.0,55.744443999999994,37.599408000000004,33000000
brick,6,8.0,70.0,22.0,55.760241,37.611346999999995,42900000
monolith,6,17.0,72.71,12.1,55.761644,37.550567,52450000
monolith,3,10.0,74.0,20.0,55.764101000000004,37.66044,20990000
brick,3,6.0,73.0,6.0,55.754086,37.652661,23000000
brick,11,14.0,73.5,9.5,55.738155000000006,37.628603999999996,28000000
brick,9,14.0,73.1,10.0,55.788717000000005,37.629888,18500000
brick,2,4.0,73.0,10.0,55.781286,37.600388,18500000
brick,4,5.0,74.0,12.0,55.773681999999994,37.583436,19500000
brick,5,5.0,74.0,12.1,55.73054200000001,37.563413,19500000
panel,1,16.0,74.0,11.0,55.776451,37.644252,20000000
brick,3,5.0,74.0,9.2,55.772451000000004,37.594755,21500000
